step,name,erank,E16,dW_relnorm,R,PR_Sigma,PR_Omega,module
0,model.layers.0.self_attn.q_proj,,,0.0,1.1773865406425947,1.4800997866746672,1.8451813694541035,self_attn.q_proj
0,model.layers.0.self_attn.k_proj,,,0.0,1.183991139435746,1.4800997866746672,3.894530057135254,self_attn.k_proj
0,model.layers.0.self_attn.v_proj,,,0.0,1.179606964789557,1.4800997866746672,2.8469466336148908,self_attn.v_proj
0,model.layers.0.self_attn.o_proj,,,0.0,1.5342870340493375,6.139796523381295,4.816726707356058,self_attn.o_proj
0,model.layers.0.mlp.gate_proj,,,0.0,2.5443576803459433,21.096619342178865,15.334026323316943,mlp.gate_proj
0,model.layers.0.mlp.up_proj,,,0.0,2.3851407015477766,21.096619342178865,6.405565247625677,mlp.up_proj
0,model.layers.0.mlp.down_proj,,,0.0,1.3174081136114892,10.676317408804625,49.43236037087569,mlp.down_proj
0,model.layers.12.self_attn.q_proj,,,0.0,2.092962168719663,35.67244123794512,29.674594001389497,self_attn.q_proj
0,model.layers.12.self_attn.k_proj,,,0.0,1.599303593551614,35.67244123794512,6.981369716261158,self_attn.k_proj
0,model.layers.12.self_attn.v_proj,,,0.0,1.6082955490427908,35.67244123794512,4.6201543151643465,self_attn.v_proj
0,model.layers.12.self_attn.o_proj,,,0.0,1.8757868848944057,42.987650308948915,124.2370109035494,self_attn.o_proj
0,model.layers.12.mlp.gate_proj,,,0.0,2.4532306951789478,129.84209355279324,444.30575878789216,mlp.gate_proj
0,model.layers.12.mlp.up_proj,,,0.0,2.55459678947692,129.84209355279324,310.51779505085847,mlp.up_proj
0,model.layers.12.mlp.down_proj,,,0.0,2.8814962799842356,233.86327634882704,132.60047315594778,mlp.down_proj
0,model.layers.23.self_attn.q_proj,,,0.0,1.2667756608655105,87.37585569897611,5.202337231237746,self_attn.q_proj
0,model.layers.23.self_attn.k_proj,,,0.0,3.859855837332358,87.37585569897611,10.780138261444971,self_attn.k_proj
0,model.layers.23.self_attn.v_proj,,,0.0,4.131877229094084,87.37585569897611,20.614684231777517,self_attn.v_proj
0,model.layers.23.self_attn.o_proj,,,0.0,0.5319314184353151,13.398314469437052,174.4722887442093,self_attn.o_proj
0,model.layers.23.mlp.gate_proj,,,0.0,1.5322732769495588,92.19510418906562,56.649766872238565,mlp.gate_proj
0,model.layers.23.mlp.up_proj,,,0.0,2.483373430498976,92.19510418906562,28.611769384010895,mlp.up_proj
0,model.layers.23.mlp.down_proj,,,0.0,1.345457089968929,7.302609952971499,72.68910678255165,mlp.down_proj
262,model.layers.0.self_attn.q_proj,7.430483341217041,0.9450358748435974,0.0008382083615288138,1.1809128007428162,1.4820639963384963,6.104446907975992,self_attn.q_proj
262,model.layers.0.self_attn.k_proj,6.841757774353027,0.9481842517852783,0.0011977680260315537,1.175063833579222,1.4820639963384963,5.139810027877766,self_attn.k_proj
262,model.layers.0.self_attn.v_proj,6.327712059020996,0.9605162143707275,0.004159590695053339,1.1777156602242145,1.4820639963384963,44.98202473833209,self_attn.v_proj
262,model.layers.0.self_attn.o_proj,4.717838287353516,0.967801570892334,0.004919285885989666,1.5322339049410327,6.3748283684325315,23.200184876343318,self_attn.o_proj
262,model.layers.0.mlp.gate_proj,4.066125869750977,0.9639981985092163,0.001351056736893952,1.8549305979069748,28.5752638114966,56.33769078184757,mlp.gate_proj
262,model.layers.0.mlp.up_proj,4.379884719848633,0.9618916511535645,0.001355749904178083,1.943138263510023,28.5752638114966,44.93488773296286,mlp.up_proj
262,model.layers.0.mlp.down_proj,7.730117321014404,0.9285169243812561,0.001158255967311561,1.2500102593211548,10.913801274156846,80.90671434546248,mlp.down_proj
262,model.layers.12.self_attn.q_proj,16.57436180114746,0.85079425573349,0.0009508029324933887,1.3154502843325495,27.457124307594892,38.04602969729104,self_attn.q_proj
262,model.layers.12.self_attn.k_proj,21.489526748657227,0.8160222768783569,0.0009644023957662284,1.0131120138265182,27.457124307594892,35.644850311915896,self_attn.k_proj
262,model.layers.12.self_attn.v_proj,10.91206169128418,0.8832886815071106,0.0011956882663071156,0.9596476166204712,27.457124307594892,25.84979507820978,self_attn.v_proj
262,model.layers.12.self_attn.o_proj,11.509425163269043,0.8881062269210815,0.0013161072274670005,1.7591125875066989,53.63700008075642,336.70020119803723,self_attn.o_proj
262,model.layers.12.mlp.gate_proj,17.564424514770508,0.8468742370605469,0.0010629961034283042,2.1159720340589807,164.5767975121109,366.3416408137671,mlp.gate_proj
262,model.layers.12.mlp.up_proj,15.599432945251465,0.8584035634994507,0.001073695719242096,2.042763926762217,164.5767975121109,326.1756184757469,mlp.up_proj
262,model.layers.12.mlp.down_proj,14.853683471679688,0.8607302904129028,0.0011578142875805497,3.102618529351849,326.45580968135783,404.4071620265002,mlp.down_proj
262,model.layers.23.self_attn.q_proj,9.837718963623047,0.8940656185150146,0.0014662003377452493,3.0383781062364523,112.19394787994241,31.220978185243755,self_attn.q_proj
262,model.layers.23.self_attn.k_proj,13.736540794372559,0.8552851676940918,0.0015260193031281233,3.771380908645067,112.19394787994241,35.998105510035145,self_attn.k_proj
262,model.layers.23.self_attn.v_proj,5.309155464172363,0.9557027220726013,0.0009810401825234294,3.9681883904604227,112.19394787994241,51.437536254738305,self_attn.v_proj
262,model.layers.23.self_attn.o_proj,3.5342857837677,0.964310348033905,0.0010279539274051785,0.5230260150749366,16.503380367399462,203.29253224180687,self_attn.o_proj
262,model.layers.23.mlp.gate_proj,9.044083595275879,0.8821960091590881,0.0008212352404370904,1.6535985586489441,110.81973989574445,370.1980261238268,mlp.gate_proj
262,model.layers.23.mlp.up_proj,11.216849327087402,0.8653246164321899,0.0007292962982319295,2.8575155136535515,110.81973989574445,34.14874493131901,mlp.up_proj
262,model.layers.23.mlp.down_proj,8.531025886535645,0.9125723242759705,0.0009509091032668948,1.0902429438838193,13.730962067452673,90.33773774786748,mlp.down_proj
548,model.layers.0.self_attn.q_proj,6.273009777069092,0.9515010118484497,0.0010870152618736029,1.1761233362386085,1.4838760388142036,3.481255087834669,self_attn.q_proj
548,model.layers.0.self_attn.k_proj,5.603864669799805,0.9567566514015198,0.00166931317653507,1.1745264394650943,1.4838760388142036,6.340792062235006,self_attn.k_proj
548,model.layers.0.self_attn.v_proj,5.876359462738037,0.963991641998291,0.005361671093851328,1.1804905658472533,1.4838760388142036,29.993541937514077,self_attn.v_proj
548,model.layers.0.self_attn.o_proj,4.22517728805542,0.9688590168952942,0.006070423871278763,1.6564845178252339,6.63638815156202,33.15240702548966,self_attn.o_proj
548,model.layers.0.mlp.gate_proj,3.8276309967041016,0.9628885388374329,0.001600129995495081,1.8163607201119019,37.09018944285137,76.22201409477853,mlp.gate_proj
548,model.layers.0.mlp.up_proj,4.1343817710876465,0.960411548614502,0.0016045555239543319,1.841333756819301,37.09018944285137,73.8139910224399,mlp.up_proj
548,model.layers.0.mlp.down_proj,8.001335144042969,0.9198483228683472,0.0013424988137558103,1.535755239499568,14.166821765390987,145.21726576884797,mlp.down_proj
548,model.layers.12.self_attn.q_proj,19.402605056762695,0.8191095590591431,0.001082333386875689,1.0926646072498751,26.262200533959607,37.76433482930763,self_attn.q_proj
548,model.layers.12.self_attn.k_proj,23.748821258544922,0.7880678772926331,0.001105860574170947,0.8353689841159357,26.262200533959607,32.807977122715194,self_attn.k_proj
548,model.layers.12.self_attn.v_proj,13.694018363952637,0.8532264828681946,0.001368619268760085,0.8531144025075517,26.262200533959607,22.739177396826534,self_attn.v_proj
