step,mlp.down_proj,mlp.gate_proj,mlp.up_proj,self_attn.k_proj,self_attn.o_proj,self_attn.q_proj,self_attn.v_proj
0,0.013963352854455179,0.04578212604262605,0.04578212604262605,0.01832123228969058,0.017889612152223375,0.01832123228969058,0.01832123228969058
58,0.017476082872154818,0.05437815150217532,0.05437815150217532,0.019951995050368963,0.023589091688718162,0.019951995050368963,0.019951995050368963
123,0.018667291223130666,0.06132271068275955,0.06132271068275955,0.019705133953986154,0.02135266184671589,0.019705133953986154,0.019705133953986154
202,0.02004120092544379,0.06496516615676638,0.06496516615676638,0.019062257308986207,0.02157542240731865,0.019062257308986207,0.019062257308986207
262,0.022046858810718144,0.06873780614472991,0.06873780614472991,0.01988884572860591,0.023454503907165046,0.01988884572860591,0.01988884572860591
335,0.023441625792541356,0.07172535015173603,0.07172535015173603,0.020142489494074024,0.025245306413430306,0.020142489494074024,0.020142489494074024
405,0.02328033107705223,0.07190691075890962,0.07190691075890962,0.01941922330920917,0.023582058228185522,0.01941922330920917,0.01941922330920917
466,0.024137846278920738,0.07419261017860615,0.07419261017860615,0.020002219856009543,0.02418475197935959,0.020002219856009543,0.020002219856009543
548,0.024126743193518325,0.07556148551009238,0.07556148551009238,0.02021142236776762,0.02453363319145277,0.02021142236776762,0.02021142236776762
606,0.024475964491072984,0.07601335140186351,0.07601335140186351,0.020115274998775044,0.02462419127621964,0.020115274998775044,0.020115274998775044
678,0.02444867677685287,0.07672386299506674,0.07672386299506674,0.020355389214227856,0.02508143293531224,0.020355389214227856,0.020355389214227856
751,0.02459255708781085,0.07686404988237475,0.07686404988237475,0.020248958389433046,0.024782597045574804,0.020248958389433046,0.020248958389433046
813,0.024690226846663464,0.0770436983227642,0.0770436983227642,0.020203338799549997,0.024676569961983894,0.020203338799549997,0.020203338799549997
